
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. mss_proto_rx, 3, 0, 0, 0, 0, 0, 0, 1, 10
.	. mss_proto_rx_sb, 3, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. CoreResetP, 3, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. mss_proto_rx_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. mss_proto_rx_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. mss_proto_rx_sb_MSS, 0, 0, 0, 0, 0, 0, 0, 0, 0
